ORF,YPD rep1 fitness,YPD rep1 Q-value,YPD rep2 fitness,YPD rep2 Q-value,YPG fitness,YPG Q-value,YPE fitness,YPE Q-value,SC fitness,SC Q-value,OAK fitness,OAK Q-value,ETH fitness,ETH Q-value,Gene.primaryIdentifier,Gene.symbol,Gene.name,Gene.functionSummary,Gene.phenotypeSummary,Gene.briefDescription,Gene.description,Gene.length,Gene.chromosomeLocation.start,Gene.chromosomeLocation.end,Gene.chromosome.primaryIdentifier,GO.Slim
YAL015C,0.957,0.00042,0.9544,0,0.9808,0.03217,0.9693,0.01827,0.998,0.3604,0.7874,0,0.9491,0,S000000013,NTG1,eNdonuclease Three-like Glycosylase,,Non-essential gene; null mutant shows increased mutation rate and fails to increase mitochondrial genome copy number after oxidative stress;,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase,"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication",1200,126903,128102,chrI,"hydrolase activity;hydrolase activity, acting on glycosyl bonds;lyase activity;nuclease activity"
YAL017W,0.9808,0.12054,0.9885,0.04653,0.9925,0.22264,0.9816,0.11216,1.0407,0,0.9965,0.50583,0.9985,0.34787,S000000015,PSK1,Pas domain-containing Serine/threonine protein Kinase,,"Non-essential gene, but heterozygous diploid shows haploinsufficiency; null mutant shows increased fitness on synthetic media and increased life span",PAS domain-containing serine/threonine protein kinase,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",4071,120225,124295,chrI,kinase activity;transferase activity
YAL018C,1.0055,0.42728,0.9977,0.38826,1.0084,0.20288,1.0056,0.33389,1.0408,0,1.0299,0.28194,1.0008,0.37062,S000000016,LDS1,Lipid Droplets in Sporulation,,"Non-essential gene, null mutant shows normal sporulation in large scale study and increased fitness on synthetic media",Protein Involved in spore wall assembly,"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants",978,118564,119541,chrI,molecular function unknown
YAL019W,0.9997,0.53291,1.0097,0.08367,1.0134,0.09938,0.9911,0.27087,1.02,0.00103,0.955,0.15449,0.9824,0.0106,S000000017,FUN30,Function Unknown Now,"DNA-dependent ATPase that binds chromatin; involved in DNA double-strand break processing and heterochromatin maintenence by chromatin silencing at telomere, silent mating-type cassette, rDNA; localizes to centromeric regions of chromosomes|uniprot_proteome=UP000002311","Non-essential gene, null mutant shows decreased silencing at telomeres, rDNA and siilent mating loci and also chromosome segregation defects;",Snf2p family member with ATP-dependent chromatin remodeling activity,"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate",3396,114919,118314,chrI,ATPase activity;DNA binding;chromatin binding;hydrolase activity
YAL020C,0.9706,0.01817,0.9876,0.03236,0.9366,0,0.9252,0,1.0295,0,0.8711,4.00E-05,0.9233,0,S000000018,ATS1,Alpha Tubulin Suppressor,,"Non-essential gene; null mutant displays sensitivity to heat, caffeine, and Calcofluor white but increased resistance to killer toxin; in large-scale studies, null mutant shows reduced competetive fitness in several different media and has abnormal tRNA modifications",Protein required for modification of wobble nucleosides in tRNA,"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p",1002,113614,114615,chrI,molecular function unknown
YAL021C,0.7469,0,0.7616,0,0.7566,0,0.8648,0,0.8227,0,0.4612,0,0.8578,0,S000000019,CCR4,Carbon Catabolite Repression,,,Component of the CCR4-NOT transcriptional complex,"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",2514,110846,113359,chrI,hydrolase activity;nuclease activity
YAL022C,1.0473,0.0001,1.0194,0.00094,1.0593,0,1.0546,4.00E-05,1.0769,0,1.0242,0.33213,1.0193,0.0055,S000000020,FUN26,Function Unknown Now,Nicotinamide riboside transmembrane transporter; localizes to the vacuole membrane|uniprot_proteome=UP000002311,,"High affinity, broad selectivity, nucleoside/nucleobase transporter","High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",1554,108877,110430,chrI,transmembrane transporter activity
YAL023C,0.9036,0,0.9142,0,0.9579,1.00E-05,0.9978,0.3977,0.8244,0,0.828,0,0.9114,0,S000000021,PMT2,Protein O-MannosylTransferase,,Non-essential gene; null mutant is defective in ER-associated protein mannosylation and shows sensitivity to alkaline pH and inositol auxotrophy,Protein O-mannosyltransferase of the ER membrane,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",2280,106272,108551,chrI,"transferase activity;transferase activity, transferring glycosyl groups"
YAL024C,0.8999,0,0.8892,0,0.7191,0,0.7523,0,0.9908,0.0959,0.8091,0,0.9658,0,S000000022,LTE1,Low Temperature Essential,"Putative guanyl-nucleotide exchange factor based on sequence similarity but without detectable activity; involved in vesicle-mediated transport, spindle orientation and mitotic exit; localizes to the bud|uniprot_proteome=UP000002311",Non-essential gene; null mutant shows cold sensitivity and defects in protein secretion; overexpression leads to slow growth and decreased fermentative metabolism,Protein similar to GDP/GTP exchange factors,Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,4308,101565,105872,chrI,guanyl-nucleotide exchange factor activity
YAL026C,0.8947,0,0.9087,0,0.8749,0,0.8319,0,0.9645,0,0.701,0,0.8405,0,S000000024,DRS2,Deficiency of Ribosomal Subunits,"Subunit of the Cdc50p-Drs2p phospolipid flippase complex; maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; localizes to the trans-Golgi network|uniprot_proteome=UP000002311","Non-essential gene; null mutant is sensitive to cell wall-damaging agents and metals, shows defects in protein transport through the Golgi",Trans-golgi network aminophospholipid translocase (flippase),"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease",4068,95630,99697,chrI,ATPase activity;hydrolase activity
YAL027W,1.0007,0.52617,1.0108,0.0586,1.0125,0.11622,1.0175,0.12531,1.0485,0,0.8139,0,1.0118,0.0643,S000000025,SAW1,Single-strand Annealing Weakened,,Non-essential gene; null mutant shows increased mitotic rDNA recombination and decreased competitive fitness,5'- and 3'-flap DNA binding protein,5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,786,94687,95472,chrI,DNA binding
YAL028W,1.0028,0.48661,1.0061,0.21108,1.0164,0.05776,0.997,0.38207,1.0561,0,0.9608,0.19867,1.0114,0.07043,S000000026,FRT2,Functionally Related to TCP1,,"Non-essential gene; null mutant shows decreased competitive fitness and UV resistance, abnormal proton transport and vacuolar morphology",Tail-anchored ER membrane protein of unknown function,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication",1587,92900,94486,chrI,molecular function unknown
YAL029C,0.9995,0.53102,1,0.47728,1.0006,0.38239,1.0101,0.24974,0.9786,0.00044,0.9106,0.00537,1.0017,0.34243,S000000027,MYO4,MYOsin,,Non-essential gene; null mutant shows decreased mating efficiency and decreased competitive fitness; mutation in globular tails causes defects in localization of ASH1 mRNA,Type V myosin motor involved in actin-based transport of cargos,"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication",4416,87855,92270,chrI,cytoskeletal protein binding;hydrolase activity
YAL030W,0.9966,0.47365,1.0066,0.19093,1.0132,0.10259,1.0096,0.25849,1.0509,0,1.0047,0.49746,1.0116,0.06781,S000000028,SNC1,Suppressor of the Null allele of CAP,,Non-essential gene; null mutant is defective in endocytosis; overexpression causes defects in actin cytoskeleton and abnormalities in cell cycle progression through G2,Vesicle membrane receptor protein (v-SNARE),"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",467,87286,87752,chrI,other
YAL031C,0.9689,0.01241,0.991,0.10243,0.9868,0.10319,0.9924,0.29658,1.0506,0,0.9977,0.51382,0.9896,0.08954,S000000029,GIP4,Glc7 Interacting Protein,,Non-essential gene; null mutant displays increased competitive fitness; overexpression causes abnormal budding and actin cytoskeleton and nuclear morphology,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,2283,84749,87031,chrI,enzyme binding;enzyme regulator activity
YAL034C,1.0059,0.41718,1.0077,0.14934,1.0137,0.09552,1.0242,0.05311,1.048,0,1.0247,0.32745,1.0098,0.10385,S000002134,FUN19,Function Unknown Now,Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311,"Non-essential gene; in systematic studies, null mutant displays increased competitive fitness and decreased resistance to various chemicals but increased resistance to hydrogen chloride",Non-essential protein of unknown function,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",1242,80710,81951,chrI,molecular function unknown
YAL035W,0.5699,0,0.5809,0,0.6574,0,0.5777,0,0.444,0,0.4218,0,0.4146,0,S000000033,FUN12,Function Unknown Now,Protein and ribosome binding GTPase involved in the formation of the cytoplasmic translation initiation complex and maturation of SSU-rRNA; involved in regulation of translational initiation; localizes to the cytosolic small ribosomal subunit and eukaryotic 48S pre initiation complex|uniprot_proteome=UP000002311,Gene variously reported to be essential or to cause a severe slow growth phenotype when deleted; null mutant accumulates 20S pre-rRNA; heterozygous null mutant displays decreased fitness,Translation initiation factor eIF5B,Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2,3009,76427,79435,chrI,"GTPase activity;RNA binding;hydrolase activity;translation factor activity, RNA binding"
YAL036C,1.035,0.0046,1.014,0.01654,1.0289,0.00198,1.0205,0.08806,1.0368,0,0.9685,0.26598,0.9985,0.34832,S000000034,RBG1,RiBosome interacting Gtpase,,Non-essential gene; null mutant displays increased competitive fitness and an extended hibernating lifespan,Member of the DRG family of GTP-binding proteins,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",1110,75043,76152,chrI,other
YAL037W,0.9917,0.36167,1.0002,0.47198,0.9938,0.25289,1.0026,0.38995,1.0469,0,0.9703,0.28339,1.003,0.30366,S000000035,,,Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311,,Putative protein of unknown function,"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication",804,74020,74823,chrI,molecular function unknown
YAL039C,0.9687,0.01174,0.9686,0,0.5957,0,0.4998,0,1.0028,0.32896,0.9855,0.41749,0.9409,0,S000000037,CYC3,CYtochrome C,,"Non-essential gene; null mutant shows greatly decreased rate of respiratory growth and decreased apoptosis; in large-scale studies null mutant shows sensitivity to ethanol, flucytosine, MMS, inability to utilize proline or glutamine as a nitrogen source, and displays decreased competitive fitness",Cytochrome c heme lyase (holocytochrome c synthase),"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant",810,68716,69525,chrI,lyase activity
YAL040C,1.021,0.09104,1.0179,0.00234,0.9828,0.04958,1.0073,0.30106,1.0072,0.15845,0.8661,2.00E-05,1.0402,0,S000000038,CLN3,CycLiN,Cyclin-dependent protein kinase (CDK) regulatory subunit; regulates cell cycle passage by regulating G1/S phase transcription; regulates cell size and non-autophagic vacuole fusion; localizes to the nucleus|uniprot_proteome=UP000002311,"Non-essential gene; dominant hyperactive alleles result in decreased critical cell size at START, decreased duration of the G1 phase, increased alpha-factor resistance, transient pheromone-induced cell cycle arrest, reduced mating efficiency; null mutants have an increased critical cell size at START, increased duration of the G1 phase, elevated chromosome instability, and increased chronological lifespan; homozygous diploid nulls have an increased sporulation efficiency and enhanced pseudohyphal growth",G1 cyclin involved in cell cycle progression,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1",1743,65778,67520,chrI,enzyme regulator activity
YAL042W,0.987,0.24856,1.0002,0.47209,1.0118,0.12991,1.0391,0.00312,1.0358,0,0.9589,0.18435,1.0094,0.11252,S000000040,ERV46,ER Vesicle,,,Protein localized to COPII-coated vesicles,Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport,1248,61316,62563,chrI,molecular function unknown
YAL043C-A,1.0032,0.47783,0.9961,0.30937,1.015,0.07548,1.0488,0.00025,1.0254,3.00E-05,1.0001,0.52834,1.0091,0.11865,,,,,,,,,,,,
YAL044C,0.9844,0.19094,0.9722,0,0.6129,0,0.8307,0,0.8923,0,0.8246,0,0.8239,0,S000000042,GCV3,GlyCine cleaVage,,,H subunit of the mitochondrial glycine decarboxylase complex,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",513,57950,58462,chrI,oxidoreductase activity
YAL045C,0.9954,0.44672,0.9906,0.09148,0.9918,0.20605,0.9878,0.21224,1.0381,0,1.0026,0.51164,0.9864,0.03938,S000000043,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",309,57488,57796,chrI,molecular function unknown
YAL046C,0.9323,0,0.9911,0.10694,0.937,0,0.9579,0.00153,1.0134,0.02442,0.848,0,0.9479,0,S000000044,AIM1,Altered Inheritance of Mitochondria,Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311,"Non-essential gene; null mutant displays decreased competitive fitness in media containing either fermentable or non-fermentable carbon sources; null mutant displays an increased frequency of spontaneous mitochondrial genome loss and elevated levels of Rnr3p, indicative of genome instability; null mutant is defective in biofilm formation; null mutant displays increased survival following a ramped heat stimulus; null mutant displays a reduction in the delivery of a plasma membrane reporter to the cell surface; heterozygous null mutant is haploinsufficient",Protein involved in mitochondrial function or organization,Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss,357,57029,57385,chrI,molecular function unknown
YAL047C,0.5123,0,0.512,0,0.4925,0,0.4608,0,0.4604,0,0.4072,0,0.4755,0,S000000045,SPC72,Spindle Pole Component,,,Gamma-tubulin small complex (gamma-TuSC) receptor,"Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase",1869,54989,56857,chrI,structural molecule activity
YAL048C,1.0003,0.53291,1.0013,0.42836,0.9704,0.00152,1.0187,0.10815,0.9524,0,1.0633,0.05196,0.9626,0,S000000046,GEM1,GTPase EF-hand protein of Mitochondria,,,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex","Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases",1989,52801,54789,chrI,GTPase activity;hydrolase activity;ion binding
YAL049C,0.9757,0.05247,0.9954,0.27993,0.9897,0.15998,0.9961,0.36526,1.0405,0,0.9896,0.45193,0.9873,0.0503,S000000047,AIM2,Altered Inheritance rate of Mitochondria,Protein whose biological role is unknown; localized to the cytoplasm|uniprot_proteome=UP000002311,Non-essential gene; null mutant displays a decreased frequency of spontaneous mitochondrial genome loss; null mutant is ethanol sensitive; null mutant displays increased survival following a ramped heat stimulus; overexpression results in decreased filamentous group and an inability to undergo invasive growth,Cytoplasmic protein involved in mitochondrial function or organization,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,741,51855,52595,chrI,molecular function unknown
YAL051W,1.003,0.48289,1.0074,0.15956,1.0104,0.15719,1.0122,0.21152,1.0443,0,0.7996,0,1.0026,0.31671,S000000048,OAF1,Oleate-Activated transcription Factor,"Subunit of the heterodimeric Pip2-Oaf1 complex, which binds to promoter proximal elements upstream of genes involved in peroxisomal proliferation, functioning as a transcriptional activator in the presence of oleate; regulates chromatin silencing at telomeres|uniprot_proteome=UP000002311",,Oleate-activated transcription factor,"Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication",3144,48564,51707,chrI,DNA binding;nucleic acid binding transcription factor activity
YAL053W,1.0113,0.28986,0.9989,0.43678,0.9714,0.0022,0.9534,0.00045,1.0395,0,1.1655,0,1.0041,0.26611,S000000049,FLC2,FLavin Carrier,,,Putative calcium channel involved in calcium release under hypotonic,"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication",2352,45899,48250,chrI,transmembrane transporter activity
YAL054C,0.9988,0.5175,1.0035,0.3294,0.6832,0,0.9505,0.0002,1.002,0.36259,0.9768,0.34127,1.0057,0.2153,S000000050,ACS1,Acetyl CoA Synthetase,Acetyl-CoA ligase with role in acetyl-CoA synthesis; localizes in the cytosol|uniprot_proteome=UP000002311,Non-essential gene; null mutant shows decreased fermentative growth and is incapable of respiratory growth on non-fermentable carbon sources,Acetyl-coA synthetase isoform,"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",2142,42881,45022,chrI,ligase activity
